preyitem,species,final_scientific,lowerweight_g,upperweight_g,avgweight_g,Citation,Notes,generalgroup,genus,family,order,class,phylum,commoname,genusgroup,familygroup,ordergroup,taxasizegroup,taxasizegroupbroad
Moose,Alces alces,Alces alces,385,570,477.5,"Albert W. Franzmann, Alces alces, Mammalian Species, Issue 154, 8 May 1981, Pages 1–7, https://doi.org/10.2307/3503876",,Mammals,Alces,Cervidae,Artiodactyla,Mammalia,Chordata,Moose,Moose,Deer and elk,Even-toed ungulates,MammalsLarge,Mammals
Serviceberry,Amelanchier ainifolia,Amelanchier ainifolia,,,0,,Berry,Plants,Amelanchier,Rosaceae,Rosales,Angiosperm,Angiosperm,,,,,Plants,Plants
Wandering salamander,Aneides vagrans,Aneides vagrans,2,5,3.5,https://www.registrelep-sararegistry.gc.ca/virtual_sara/files/cosewic/sr_Wandering%20Salamander_2014_e.pdf,,Amphibians,Aneides,Plethodontidae,Urodela,Amphibia,Chordata,Wandering salamander,Climbing salamanders,Salamanders,Salamanders,Amphibians,Amphibians
Mountain beaver,Aplodontia rufa,Aplodontia rufa,600,1400,1000,"Carraway, L.N. and Verts, B.J., 1993. Aplodontia rufa. Mammalian Species, (431), pp.1-10.",,Mammals,Aplodontia,Aplodontidae,Rodentia,Mammalia,Chordata,Mountain beaver,Mountain beaver,Mountain beaver,Mountain beavers,MammalsSmall,Mammals
Wild sarsparilla,Aralia nudicaulis,Aralia nudicaulis,,,0,,Berry,Plants,Aralia,Araliaceae,Apiales,Magnoliopsida,Angiosperm,,,,,Plants,Plants
White-footed vole,Arborimus albipes,Arborimus albipes,29,29,29,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102121/Arborimus_albipes,,Mammals,Arborimus,Cricetidae,Rodentia,Mammalia,Chordata,White-footed vole,Tree vole,Cricetids,Rodents,MammalsSmall,Mammals
Red tree vole,Arborimus longicaudus,Arborimus longicaudus,25,50,37.5,"Hayes, J.P., 1996. Arborimus longicaudus. Mammalian Species, (532), pp.1-5.",,Mammals,Arborimus,Cricetidae,Rodentia,Mammalia,Chordata,Red tree vole,Tree vole,Cricetids,Rodents,MammalsSmall,Mammals
Red fruit bearberry,Arctostaphylos rubra,Arctostaphylos rubra,,,0,,Berry,Plants,Arctostaphylos,,,,,,,,,Plants,Plants
Bearberry,Arctostaphylos uva-ursi,Arctostaphylos uva-ursi,,,0,,Berry,Plants,Arctostaphylos,Ericaceae,Ericales,Magnoliopsida,Angiosperm,,,,,Plants,Plants
Northern short-tailed shrew,Blarina brevicauda,Blarina brevicauda,29,29,29,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104671/Blarina_brevicauda,,Mammals,Blarina,Soricidae,Euliptophyla,Mammalia,Chordata,Northern short-tailed shrew,Shrew,Shrews,Moles and shrews,MammalsSmall,Mammals
Cedar waxwing,Bombycilla cedrodum,Bombycilla cedrorum,,,,,,Birds,Bombycilla,Bombycillidae,Passeriformes,Aves,Chordata,Animalia,Waxwing,Waxwings,Passerines,BirdsSmall,Birds
Ruffed grouse,Bonasa umbellus,Bonasa umbellus,450,750,600,"Rusch, D. H., S. Destefano, M. C. Reynolds, and D. Lauten (2020). Ruffed Grouse (Bonasa umbellus), version 1.0. In Birds of the World (A. F. Poole and F. B. Gill, Editors). Cornell Lab of Ornithology, Ithaca, NY, USA. https://doi.org/10.2173/bow.rufgro.01",,Birds,Bonasa,Phasianidae,Galliformes,Aves,Chordata,Ruffed grouse,Grouse,Gamebirds,Gamebirds,BirdsMedium,Birds
Domestic cattle,Bos taurus,Bos taurus,558,591.8,574.9,,,Mammals,Bos,Bovidae,Artiodactyla,Mammalia,Chordata,Domestic cattle,Cattle,Bovids,Even-toed ungulates,MammalsLarge,Mammals
