Primary Author,Year,Study_Key,MartenSpecies,Type,Diet Calculation,Sample Size,Sample Type,Season,Seasonal Variation,Annual Variation,Sexual Variation,Paired Prey Abundance,Grouping Level,Country,State_Province,Locale,Lat,Long,File on Drive (Y/N),Main Findings,Notes_manuscript,Full citation
Eriksson,2019,Eriksson_2019,Pacific marten,DNA metabarcoding,Frequency of occurrence,90,Scat,"Spring, Fall, Winter",Yes,No,No,Yes,Species,USA,Oregon,Oregon Dunes,43.7,-124.1666,Y,"Diverse diet, lots of voles, mice, thrushes and fruit",Maybe only other DNA metabarcoding study?,"Eriksson, C.E., Moriarty, K.M., Linnell, M.A. and Levi, T., 2019. Biotic factors influencing the unexpected distribution of a Humboldt marten (Martes caurina humboldtensis) population in a young coastal forest. PloS one, 14(5), p.e0214653."
Andruskiw,2003,Andruskiw_2003,American marten,Fecal sort,Frequency of occurrence,181,Scat,All,No,No,Yes,Yes,Species,Canada,Ontario,,50.6333,-93.2166,Y,"Diet dominated by red-backed voles, snowshoe hares, meadow voles, grouse",Did not identify/analyze species representing < 5% of diet,"Andruskiw, M., 2003. Prey abundance, availability, and anxiety in structured environments (Doctoral dissertation, University of Guelph)."
Baker,1992,Baker_1992,Pacific marten ,Fecal sort,"Frequency of occurrence, percent volume",126,Scat,All,Yes,No,No,No,Class,Canada,British Columbia,Vancouver Island,49.0166,-124.1333,Y,"Highly seasonal diet, study location (Vancouver Island) relatively depauperate of small mammal prey species",Did not identify individual prey items,"Baker, J.M., 1992. Habitat use and spatial organization of pine marten on southern Vancouver Island, British Columbia (Doctoral dissertation, Theses (Dept. of Biological Sciences)/Simon Fraser University)."
Bateman,1986,Bateman_1986,American marten,Fecal sort,"Frequency of occurrence, percent volume",56,Scat,Winter,No,No,No,Yes,Species,Canada,Newfoundland,,48.509,-58.2469,Y,"Diet dominated by meadow vole and snowshoe hare, study location depauperate of prey species",,"Bateman, M.C., 1986. Winter habitat use, food habits and home range size of the marten, Martes americana, in western Newfoundland. Canadian field-naturalist. Ottawa ON, 100(1), pp.58-62."
Bull,2000,Bull_2000,Pacific marten,Fecal sort,Frequency of occurrence,1014,Scat,All,Yes,No,No,No,Species,USA,Oregon,Blue Mountains,45.0877,-117.1766,Y,"High seasonal variation, small prey in summer and larger prey in winter",,"Bull, E.L., 2000. Seasonal and sexual differences in American marten diet in northeastern Oregon. Northwest science., 74(3), pp.186-191."
Buskirk,1984,Buskirk_1984,American marten,Fecal sort,Frequency of occurrence,467,Scat,All,Yes,Yes,No,Yes,Species,USA,Alaska,Sisutna River,62.828,-148.496,Y,Srong seasonal variation in importance of voles was associated with vole density,,"Buskirk, S.W. and MacDonald, S.O., 1984. Seasonal food habits of marten in south-central Alaska. Canadian Journal of Zoology, 62(5), pp.944-950."
Campbell,1979,Campbell_1979,Pacific marten,Fecal sort,Frequency of occurrence,145,Scat,Summer,No,No,No,Yes,Species,USA,Wyoming,Teton Range,43.7413,-110.4826,Y,"Summer diet dominated by voles and pocket gophers, both of which were abundant; marten did not prey on other abundant species though (mice, squirrels)",,"Campbell, T.M., 1979. Short-term effects of timber harvests on pine marten ecology (Doctoral dissertation, Colorado State University)."
Carlson,2014,Carlson_2014,American marten,Fecal sort,Frequency of occurrence,70,Scat,Winter,No,No,No,No,Species,USA,Wisconsin,,46.2084,-90.9057,Y,"Diet dominated by shrews and deer, considered less-profitable (shrews) or high-risk (deer) prey",Also used stable isotope but results not discernible,"Carlson, J.E., Gilbert, J.H., Pokallus, J.W., Manlick, P.J., Moss, W.E. and Pauli, J.N., 2014. Potential role of prey in the recovery of American martens to Wisconsin. The Journal of Wildlife Management, 78(8), pp.1499-1504."
Cowan,1950,Cowan_1950,Hybrid zone,Fecal sort,Frequency of occurrence,200,Scat,All,Yes,No,No,No,Species,Canada,"Alberta, British Columbia","Banff, Jasper, Kootenay National Parks",52.057,-117.06,Y,Diet dominated by mice and voles,,"Cowan, I.M. and Mackay, R.H., 1950. Food habits of the marten (Martes americana) in the Rocky Mountain region of Canada. Can Field-Nat, 64, pp.100-4."
Douglass,1983,Douglass_1983,American marten,Fecal sort,Frequency of occurrence,172,Scat,"Spring, Fall, Winter",No,No,No,Yes,Species,Canada,Northwest Territories,,65.7591,-127.7574,Y,"Diet dominated by voles, but vole use did not track abundance",,"Douglass, R.J., Fisher, L.G. and Mair, M., 1983. Habitat selection and food habits of marten, Martes americana, in the Northwest Territories. Canadian Field-Naturalist."
Drew,1997,Drew_1997,American marten,Fecal sort,Frequency of occurrence,42,Scat,Winter,No,Yes,No,No,Species,Canada,Newfoundland,,48.3854,-57.8283,Y,"Diet dominated by squirrels, hares, voles",Marten activity (nocturnal) synchronized with periods of prey vulnerability and decreased predation risk,"Drew, G.S. and Bissonette, J.A., 1997. Winter activity patterns of American martens (Martes americana): rejection of the hypothesis of thermal-cost minimization. Canadian Journal of Zoology, 75(5), pp.812-816."
Francis,1958,Francis_1958,American marten,Fecal sort,Frequency of occurrence,946,Scat,"Summer, Fall",Yes,Yes,No,Yes,Species,Canada,Ontario,Algonquin Region,45.5937,-78.5255,Y,Diverse diet dominated by small mammals; birds and berries seasonally important; martens ate what was available,,"Francis, G.R., 1958. Ecological studies of marten (Martes americana) in Algonquin Park, Ontario (Doctoral dissertation, University of British Columbia)."
Fuller,2005,Fuller_2005,American marten,Fecal sort,Frequency of occurrence,229,Scat,All,Yes,No,No,No,Species,USA,Maine,,45.8175,-62.2448,Y,"Diet dominated by voles, mice, shrews; hares important in winter",,"Fuller, A.K. and Harrison, D.J., 2005. Influence of partial timber harvesting on American martens in north?central Maine. The Journal of Wildlife Management, 69(2), pp.710-722."
